name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name ->
ano,int64,Ano,2020-01(1)2022-12,no,br_bd_diretorios_data_tempo.ano:ano,year,no,,ANO
mes,int64,Mês,2020-01(1)2022-12,no,br_bd_diretorios_data_tempo.mes:mes,month,no,,MES
id_servidor_portal,string,ID do servidor no Portal da Transparência ,2020-01(1)2022-12,no,,,no,,Id_SERVIDOR_PORTAL
cpf,string,CPF do servidor anonimizado ,2020-01(1)2022-12,no,,,yes,,CPF
nome,string,Nome ,2020-01(1)2022-12,no,,,yes,,NOME
remuneracao_bruta_brl,float64,Remuneração bruta gasta em Real,2020-01(1)2022-12,no,,brl,no,,REMUNERAÇÃO BÁSICA BRUTA (R$)
remuneracao_bruta_usd,float64,Remuneração bruta gasta em Dólar ,2020-01(1)2022-12,no,,usd,no,,REMUNERAÇÃO BÁSICA BRUTA (U$)
abate_teto_brl,float64,Abate em relação ao valor do teto em Real,2020-01(1)2022-12,no,,brl,no,,ABATE-TETO (R$)
abate_teto_usd,float64,Abate em relação ao valor do teto em Dólar,2020-01(1)2022-12,no,,usd,no,,ABATE-TETO (U$)
gratificao_natalina_brl,float64,Gratificação Natalina em Real,2020-01(1)2022-12,no,,brl,no,,GRATIFICAÇÃO NATALINA (R$)
gratificao_natalina_usd,float64,Gratificação Natalina em Dólar,2020-01(1)2022-12,no,,usd,no,,GRATIFICAÇÃO NATALINA (U$)
abate_teto_gratificacao_natalina_brl,float64,Abate do teto na Gratificação Natalina em Real,2020-01(1)2022-12,no,,brl,no,,ABATE-TETO DA GRATIFICAÇÃO NATALINA (R$)
abate_teto_gratificacao_natalina_usd,float64,Abate do teto na Gratificação Natalina em Dólar,2020-01(1)2022-12,no,,usd,no,,ABATE-TETO DA GRATIFICAÇÃO NATALINA (U$)
ferias_brl,float64,Remuneração de férias em Real,2020-01(1)2022-12,no,,brl,no,,FÉRIAS (R$)
ferias_usd,float64,Remuneração de férias em Dólar,2020-01(1)2022-12,no,,usd,no,,FÉRIAS (U$)
