id_unidade_organizacional_nivel_0,id_unidade_organizacional_nivel_1,id_unidade_organizacional_nivel_2,id_unidade_organizacional_nivel_3,id_natureza_juridica,id_esfera_orcamentaria,id_resultado_primario,valor_custo_transferencia
26,1988,1,-9,1,1,2,17124815.95
26,1988,1,36554,1,1,2,8932838.26
26,1988,1,36554,1,1,3,0.0
26,1988,1,36554,1,2,2,1445177.98
26,244,117267,200695,1,2,2,0.0
26,14,25,-9,1,1,2,300000.0
26,1988,1,-9,1,1,3,48750.0
26,1988,1,-9,1,1,6,39982863.09
26,1988,1,-9,1,1,7,29204316.31
26,235880,169,-9,1,1,2,2007886.13
26,42673,86567,-9,1,1,2,0.0
26,42673,86567,-9,1,1,6,0.0
26,235880,169,-9,1,1,3,3862133.34
26,235880,169,-9,1,1,6,3284450.45
26,235880,169,-9,1,1,7,0.0
26,235880,169,-9,1,2,3,8387616.54
26,2846,119672,-9,1,1,3,0.0
26,2852,227,-9,1,1,2,0.0
26,2852,227,-9,1,1,3,0.0
26,2852,76608,-9,1,1,2,0.0
26,304,2207,-9,2,2,2,75956110.94
26,304,2207,-9,2,2,3,88644204.71
26,304,2207,-9,2,2,6,522785.08
26,244,69624,-9,2,1,2,0.0
26,244,84703,-9,2,1,2,7146.98
26,244,84712,-9,2,1,2,940.8
26,244,94739,-9,2,1,2,0.0
26,1988,8,-9,2,1,2,9504.783036
26,1988,8,-9,2,1,3,0.0
26,1988,8,-9,2,1,6,0.0
26,1988,8,-9,2,2,2,0.0
26,244,250,-9,2,1,2,1310880.0
26,244,52702,-9,2,1,2,0.0
26,244,475,-9,2,1,2,225.0
26,244,476,-9,2,1,2,0.0
26,244,477,-9,2,1,2,3000.0
26,244,260,-9,2,1,2,0.0
26,244,970,-9,2,1,2,0.0
26,244,1209,-9,2,1,2,0.0
26,244,1605,-9,2,1,2,0.0
26,244,465,-9,2,1,2,-34.93
26,244,468,-9,2,1,2,0.0
26,244,1710,-9,2,1,2,52.86
26,244,469,-9,2,1,2,0.0
26,244,470,-9,2,1,2,14327.18
26,244,1734,-9,2,1,2,0.0
26,244,471,-9,2,1,2,0.0
26,304,315,-9,2,2,2,105300.0
26,244,472,-9,2,1,2,67449.95
26,244,473,-9,2,1,2,0.0
26,244,474,-9,2,1,2,0.0
26,72084,1782,-9,2,1,6,736614.79
26,235876,956,-9,2,1,2,0.0
26,72084,2330,-9,2,1,2,200000.0
26,72084,2330,-9,2,1,6,654613.33
26,235881,173,87887,2,1,2,0.0
26,235876,7,-9,2,1,2,0.0
26,72084,984,2959,2,1,2,0.0
26,304,3273,9073,3,2,2,0.0
26,1927,-9,-9,3,1,2,0.0
26,14,3520,-9,3,1,2,100000.0
26,14,3520,-9,3,1,6,0.0
26,14,211159,-9,3,1,2,103195.3
26,14,211159,-9,3,1,6,100000.0
26,304,3273,46664,3,2,2,87397557.71
26,304,3273,46664,3,2,3,0.0
26,304,3273,46664,3,2,6,519213275.73
26,304,3273,46664,3,2,7,300593974.0
26,14,214528,-9,3,1,2,0.0
26,14,214528,-9,3,1,6,0.0
26,14,2030,-9,3,1,2,750000.0
26,14,3200,2793,3,1,2,0.0
26,14,3200,2800,3,1,2,0.0
26,244,3243,8928,3,1,2,7000000.0
26,263,2034,237447,3,1,2,13235776.26
26,263,42767,-9,3,1,2,92497.737176
26,-9,-9,-9,3,1,2,0.0
26,1988,10,-9,3,1,2,0.0
26,2846,3412,8955,3,1,2,0.0
