CAT;CLASSIF;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS;
A00;;Cólera;A00   Colera;;;
A01;;Febres tifóide e paratifóide;A01   Febres tifoide e paratifoide;;;
A02;;Outras infecções por Salmonella;A02   Outr infecc p/Salmonella;;;
A03;;Shiguelose;A03   Shiguelose;;;
A04;;Outras infecções intestinais bacterianas;A04   Outr infecc intestinais bacter;;;
A05;;Outras intoxicações alimentares bacterianas, não classificadas em outra parte;A05   Outr intox alimentares bacter NCOP;;;
A06;;Amebíase;A06   Amebiase;;;
A07;;Outras doenças intestinais por protozoários;A07   Outr doenc intestinais p/protozoarios;;;
A08;;Infecções intestinais virais, outras e as não especificadas;A08   Infecc intestinais virais outr e as NE;;;
A09;;Diarréia e gastroenterite de origem infecciosa presumível;A09   Diarreia e gastroenterite orig infecc presum;;;
A15;;Tuberculose respiratória, com confirmação bacteriológica e histológica;A15   Tuberc respirat c/conf bacteriol e histolog;;;
A16;;Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica;A16   Tuberc vias respirat s/conf bacter histol;;;
A17;+;Tuberculose do sistema nervoso;A17   Tuberc do sist nervoso;;;
A18;;Tuberculose de outros órgãos;A18   Tuberc de outr orgaos;;;
A19;;Tuberculose miliar;A19   Tuberc miliar;;;
A20;;Peste;A20   Peste;;;
A21;;Tularemia;A21   Tularemia;;;
A22;;Carbúnculo;A22   Carbunculo;;;
A23;;Brucelose;A23   Brucelose;;;
A24;;Mormo e melioidose;A24   Mormo e melioidose;;;
A25;;Febres transmitidas por mordedura de rato;A25   Febres transm p/mordedura de rato;;;
A26;;Erisipelóide;A26   Erisipeloide;;;
A27;;Leptospirose;A27   Leptospirose;;;
A28;;Outras doenças bacterianas zoonóticas não classificadas em outra parte;A28   Outr doenc bacter zoonoticas NCOP;;;
A30;;Hanseníase [doença de Hansen] [lepra];A30   Hanseniase;;;
A31;;Infecções devidas a outras micobactérias;A31   Infecc dev outr micobacterias;;;
A32;;Listeriose [listeríase];A32   Listeriose;;;
A33;;Tétano do recém-nascido [neonatal];A33   Tetano do recem-nascido;;;
A34;;Tétano obstétrico;A34   Tetano obstetrico;;;
A35;;Outros tipos de tétano;A35   Outr tipos de tetano;;;
A36;;Difteria;A36   Difteria;;;
A37;;Coqueluche;A37   Coqueluche;;;
A38;;Escarlatina;A38   Escarlatina;;;
A39;;Infecção meningogócica;A39   Infecc meningogocica;;;
A40;;Septicemia estreptocócica;A40   Septicemia estreptococica;;;
A41;;Outras septicemias;A41   Outr septicemias;;;
A42;;Actinomicose;A42   Actinomicose;;;
A43;;Nocardiose;A43   Nocardiose;;;
A44;;Bartonelose;A44   Bartonelose;;;
A46;;Erisipela;A46   Erisipela;;;
A48;;Outras doenças bacterianas não classificadas em outra parte;A48   Outr doenc bacter NCOP;;;
A49;;Infecção bacteriana de localização não especificada;A49   Infecc bacter de localiz NE;;;
A50;;Sífilis congênita;A50   Sifilis congen;;;
A51;;Sífilis precoce;A51   Sifilis precoce;;;
A52;;Sífilis tardia;A52   Sifilis tard;;;
A53;;Outras formas e as não especificadas da sífilis;A53   Outr form e as NE da sifilis;;;
