municipio,geocodigo
Adamantina,3500105
Adolfo,3500204
Aguaí,3500303
Águas da Prata,3500402
Águas de Lindóia,3500501
Águas de Santa Bárbara,3500550
Águas de São Pedro,3500600
Agudos,3500709
Alambari,3500758
Alfredo Marcondes,3500808
Altair,3500907
Altinópolis,3501004
Alto Alegre,3501103
Alumínio,3501152
Álvares Florence,3501202
Álvares Machado,3501301
Álvaro de Carvalho,3501400
Alvinlândia,3501509
Americana,3501608
Américo Brasiliense,3501707
Américo de Campos,3501806
Amparo,3501905
Analândia,3502002
Andradina,3502101
Angatuba,3502200
Anhembi,3502309
Anhumas,3502408
Aparecida,3502507
Aparecida d'Oeste,3502606
Apiaí,3502705
Araçariguama,3502754
Araçatuba,3502804
Araçoiaba da Serra,3502903
Aramina,3503000
Arandu,3503109
Arapeí,3503158
Araraquara,3503208
Araras,3503307
Arco-Íris,3503356
Arealva,3503406
Areias,3503505
Areiópolis,3503604
Ariranha,3503703
Artur Nogueira,3503802
Arujá,3503901
Aspásia,3503950
Assis,3504008
Atibaia,3504107
Auriflama,3504206
Avaí,3504305
Avanhandava,3504404
Avaré,3504503
Bady Bassitt,3504602
Balbinos,3504701
Bálsamo,3504800
Bananal,3504909
Barão de Antonina,3505005
Barbosa,3505104
Bariri,3505203
Barra Bonita,3505302
Barra do Chapéu,3505351
Barra do Turvo,3505401
Barretos,3505500
Barrinha,3505609
Barueri,3505708
Bastos,3505807
Batatais,3505906
Bauru,3506003
Bebedouro,3506102
Bento de Abreu,3506201
Bernardino de Campos,3506300
Bertioga,3506359
Bilac,3506409
Birigui,3506508
Biritiba Mirim,3506607
Boa Esperança do Sul,3506706
Bocaina,3506805
Bofete,3506904
Boituva,3507001
Bom Jesus dos Perdões,3507100
Bom Sucesso de Itararé,3507159
Borá,3507209
Boracéia,3507308
Borborema,3507407
Borebi,3507456
Botucatu,3507506
Bragança Paulista,3507605
Braúna,3507704
Brejo Alegre,3507753
Brodowski,3507803
Brotas,3507902
Buri,3508009
Buritama,3508108
Buritizal,3508207
Cabrália Paulista,3508306
Cabreúva,3508405
Caçapava,3508504
Cachoeira Paulista,3508603
Caconde,3508702
Cafelândia,3508801
Caiabu,3508900
Caieiras,3509007
Caiuá,3509106
Cajamar,3509205
Cajati,3509254
Cajobi,3509304
Cajuru,3509403
Campina do Monte Alegre,3509452
Campinas,3509502
Campo Limpo Paulista,3509601
Campos do Jordão,3509700
Campos Novos Paulista,3509809
Cananéia,3509908
Canas,3509957
Cândido Mota,3510005
Cândido Rodrigues,3510104
Canitar,3510153
Capão Bonito,3510203
Capela do Alto,3510302
Capivari,3510401
Caraguatatuba,3510500
Carapicuíba,3510609
Cardoso,3510708
Casa Branca,3510807
Cássia dos Coqueiros,3510906
Castilho,3511003
Catanduva,3511102
Catiguá,3511201
Cedral,3511300
Cerqueira César,3511409
Cerquilho,3511508
Cesário Lange,3511607
Charqueada,3511706
Chavantes,3557204
Clementina,3511904
Colina,3512001
Colômbia,3512100
Conchal,3512209
Conchas,3512308
Cordeirópolis,3512407
Coroados,3512506
Coronel Macedo,3512605
Corumbataí,3512704
Cosmópolis,3512803
Cosmorama,3512902
Cotia,3513009
Cravinhos,3513108
Cristais Paulista,3513207
Cruzália,3513306
Cruzeiro,3513405
Cubatão,3513504
Cunha,3513603
Descalvado,3513702
Diadema,3513801
Dirce Reis,3513850
Divinolândia,3513900
Dobrada,3514007
Dois Córregos,3514106
Dolcinópolis,3514205
Dourado,3514304
Dracena,3514403
Duartina,3514502
Dumont,3514601
Echaporã,3514700
Eldorado,3514809
Elias Fausto,3514908
Elisiário,3514924
Embaúba,3514957
Embu das Artes,3515004
Embu Guaçú,3515103
Emilianópolis,3515129
Engenheiro Coelho,3515152
Espírito Santo do Pinhal,3515186
Espírito Santo do Turvo,3515194
Estiva Gerbi,3557303
Estrela do Norte,3515301
Estrela d'Oeste,3515202
